20000
(2.16868105810136, 1.53024888364598)
(7.50846385955811, 3.36532901506871)
(6.60595426335931, 4.81489911675453)
(1.47238802164793, 6.03243989637122)
(0.907609097193927, 3.29259380232543)
(6.21021630242467, 4.10964324837551)
(8.77761328127235, 3.12620291020721)
(1.11487000249326, 2.90259191067889)
(3.84299494558945, 2.71681593265384)
(0.244608148932457, 6.74790052697062)
(3.75480758957565, 6.85356224654242)
(9.95756377466023, 4.84563452191651)
(1.35316015221179, 0.369641857687384)
(1.27693797228858, 9.31593167828396)
(1.26997236860916, 0.631470738444477)
(0.323362809140235, 2.51432963879779)
(8.73461057431996, 6.41455401433632)
(8.95853239810094, 2.97251906711608)
(3.3104660990648, 1.366617444437)
(3.17344160983339, 9.67760065803304)
(4.17165978113189, 2.82681093085557)
(9.79172170627862, 3.76589946681634)
(7.95368165941909, 3.3917751419358)
(3.02185339620337, 0.725973872467875)
(9.10374592524022, 8.5169842815958)
(5.67450789501891, 4.29208092624322)
(1.14514062646776, 6.30841919220984)
(4.54944522352889, 7.26042229682207)
(4.73286726977676, 8.28279015608132)
(7.22611309494823, 2.75466438150033)
(5.57806836906821, 5.90248129097745)
(6.39849232509732, 5.68350547226146)
(0.172074749134481, 8.8618045905605)
(4.68615156365559, 0.994625193998218)
(9.11479949951172, 2.22010655561462)
(9.98814701801166, 6.55151817249134)
(4.73702141316608, 4.33637844398618)
(9.1936137364246, 7.14523098664358)
(1.58296718960628, 5.56777639081702)
(9.78652227669954, 3.38204188505188)
(4.83223792398348, 9.85067125409842)
(2.69037937512621, 4.45743087679148)
(1.53836041688919, 8.36542571661994)
(2.19902999931946, 7.81113164965063)
(3.40637674555182, 6.24994088662788)
(9.05742595205083, 7.40688123740256)
(7.16174460947514, 4.79861431987956)
(5.92288037529215, 0.667555029504001)
(7.8944428730756, 2.32874843524769)
(4.80882783420384, 4.60576872108504)
(3.78339904127643, 2.32989442069083)
(6.8358164629899, 1.96007111808285)
(2.07809932762757, 6.42255825921893)
(2.06058250973001, 0.575110660865903)
(7.53391910111532, 2.76261168066412)
(9.56508621340618, 2.77356154983863)
(2.31687209336087, 0.768171569798142)
(2.62395336059853, 9.46165945613757)
(9.60761492373422, 5.22181587526575)
(4.11539396038279, 9.73378842463717)
(8.28785858349875, 8.83503038901836)
(8.74313211301342, 5.13481725938618)
(2.84779125824571, 7.76586244581267)
(0.556585856247693, 9.11441389936954)
(5.80713843693957, 5.36546230548993)
(2.39516376052052, 0.679641847964376)
(2.5097094126977, 4.76028356701136)
(9.27420978201553, 8.20772192208096)
(7.98340686131269, 0.622736923396587)
(6.62271684268489, 3.51725618587807)
(4.10801959689707, 7.92103079147637)
(7.7298513171263, 5.81228123512119)
(2.9364825761877, 1.76548073999584)
(1.76092564594001, 2.53042268101126)
(9.17861929396167, 5.82089990843087)
(2.26916841231287, 6.85035543050617)
(8.28229431062937, 5.42529513360932)
(3.21886265883222, 4.62797564454377)
(7.37942450214177, 1.99072304880247)
(7.61534768855199, 9.98231185832992)
(4.45706832688302, 3.55197789380327)
(7.79041333124042, 9.79928108863533)
(4.22168677207083, 0.409927016589791)
(6.49361781543121, 0.49523807130754)
(2.95937109272927, 0.469690300524235)
(6.62155780708417, 5.52301228512079)
(5.05601248703897, 2.91136630577967)
(4.90131682949141, 3.96237524459139)
(1.82095979107544, 0.277039541397244)
(1.90009967656806, 5.71250949054956)
(7.61329389177263, 9.87161175580695)
(9.25969351548702, 4.21608348144218)
(0.00981725286692381, 9.89881998626515)
(8.55012029409409, 3.26502721523866)
(6.07329768594354, 4.51217347290367)
(8.52489439770579, 2.68571628956124)
(0.390357503201813, 9.46830340661108)
(9.679772593081, 5.24643275886774)
(6.53916749404743, 0.0906380452215672)
(6.31796701578423, 8.18051596637815)
(6.10891269752756, 6.76376798190176)
(5.66810363903642, 7.83886011922732)
(6.14834123058245, 5.5369263025932)
(9.9279185407795, 1.18134977295995)
(9.57425954286009, 6.9676564168185)
(9.03500645654276, 3.4677285538055)
(9.98116539558396, 7.95221706852317)
(1.55790455639362, 0.768982612062246)
